Date(GMT),"Time (GMT,h)",Hypernav_site,lat,lon,insitu_Rrs380,insitu_Rrs412,insitu_Rrs443,insitu_Rrs490,insitu_Rrs530,insitu_Rrs565,insitu_Rrs670,sgli_Rrs380_mean,sgli_Rrs412_mean,sgli_Rrs443_mean,sgli_Rrs490_mean,sgli_Rrs530_mean,sgli_Rrs565_mean,sgli_Rrs670_mean,sgli_Rrs380_std,sgli_Rrs412_std,sgli_Rrs443_std,sgli_Rrs490_std,sgli_Rrs530_std,sgli_Rrs565_std,sgli_Rrs670_std
5/21/24,16.89166667,PR,17.9034996,-66.83370209,0.007794663,0.008838525,0.00716356,0.005921623,0.002955437,0.001783912,0.000218339,0.002723451,0.003216272,0.00483815,0.004598934,0.002203045,0.000723068,0.000113639,0.00205061,0.001808621,0.001056099,0.000401884,0.000396856,0.000388891,3.52E-05
4/21/24,17.09166667,PR,17.83189964,-66.63330078,0.010335783,0.011558698,0.008547059,0.005768476,0.00221501,0.001237531,0.000120349,0.01724851,0.014634847,0.012239858,0.007761005,0.003172515,0.001596486,7.32E-05,0.00092699,0.000823675,0.000533549,0.00015726,0.000125472,8.52E-05,0
4/29/24,17.06666667,PR,17.72660065,-66.89040375,0.010415157,0.012330487,0.009720283,0.006898304,0.002658726,0.001439706,0.000144905,0.017492434,0.014519933,0.012597069,0.007787289,0.003286537,0.001860212,7.67E-05,0.000778852,0.000768251,0.000475958,0.000191192,5.93E-05,5.68E-05,3.55E-07
4/20/24,17.125,PR,17.84609985,-66.65899658,0.013090705,0.014948854,0.011051955,0.007224738,0.002719886,0.001508671,0.000135188,0.009704859,0.009676763,0.008473973,0.006371268,0.001996477,0.000826649,6.99E-05,0.000397674,0.000381069,0.000251513,0.000105048,6.94E-05,7.07E-06,0
3/3/24,17.725,PR,17.63619995,-66.61440277,0.01097238,0.01227116,0.009958304,0.007260576,0.002879344,0.001594017,0.000166042,0.01329967,0.01131473,0.009619776,0.006770425,0.002829207,0.001448139,7.45E-05,0.000213966,0.000206872,0.000127454,5.71E-05,3.54E-05,1.93E-05,4.08E-07
3/26/24,17.03333333,PR,17.33779907,-66.06690216,0.012807256,0.014508456,0.011604242,0.007787458,0.002876323,0.001575101,0.000151786,0.016994881,0.01480475,0.012646297,0.00773712,0.003066246,0.001592508,7.74E-05,0.000145853,0.000140507,7.38E-05,4.05E-05,2.43E-05,1.28E-05,0
3/21/24,17.42777778,PR,17.5916996,-66.22180176,0.00823645,0.008495511,0.006589661,0.004454925,0.001661952,0.000916556,9.04E-05,0.007736986,0.009628257,0.007642605,0.007699565,0.001247731,0.001907481,7.03E-05,0.000288357,0.000239597,0.000207385,0.00017157,1.35E-05,0.00013347,2.12E-06
2/17/24,17.23055556,PR,17.80120087,-66.68460083,0.009969801,0.010294995,0.008073698,0.005654751,0.002193168,0.001228839,0.00013104,0.013708133,0.012537401,0.010789627,0.0071141,0.002954709,0.001417757,7.71E-05,0.000255945,0.000178472,0.000290414,0.000167684,0.000282972,5.72E-05,2.79E-06
2/20/24,17.29166667,PR,17.76440048,-66.48529816,0.01073517,0.011907347,0.009735882,0.007065283,0.002882458,0.001681955,0.000173262,0.00480532,0.005796824,0.00498154,0.004326011,0.000566922,0.000408539,7.46E-05,0.000796347,0.000916852,0.000618665,0.000129749,7.76E-05,8.62E-05,9.81E-06
7/7/23,22.01111111,HI,20.0461998,-156.2133026,0.01302002,0.012037838,0.008775358,0.005767264,0.002118642,0.001134695,8.83E-05,0.018207038,0.015647665,0.012074027,0.007360636,0.003052388,0.001451172,7.55E-05,0.000473306,0.000472428,0.000360104,0.000208698,0.000125865,9.80E-05,3.55E-07
